exclusion_index,exclusion_code_decimal,exclusion_code
1,767,767
2,765,765
3,771.22,77122
4,098.4,0984
5,771.6,7716
6,756.50,75650
7,E960.1,E9601
8,E968.4,E9684
9,286,286
9,287,287
10,E800,E800
10,E801,E801
10,E802,E802
10,E803,E803
10,E804,E804
10,E805,E805
10,E806,E806
10,E807,E807
10,E808,E808
10,E809,E809
10,E810,E810
10,E811,E811
10,E812,E812
10,E813,E813
10,E814,E814
10,E815,E815
10,E816,E816
10,E817,E817
10,E818,E818
10,E819,E819
11,E890,E890
11,E891,E891
11,E892,E892
11,E893,E893
11,E894,E894
11,E895,E895
11,E896,E896
11,E897,E897
12,E870,E870
12,E871,E871
12,E872,E872
12,E873,E873
12,E874,E874
12,E875,E875
12,E876,E876
13,733.1,7331
14,E810.1,E8101
14,E810.2,E8102
14,E810.3,E8103
14,E810.4,E8104
14,E810.5,E8105
14,E810.8,E8108
14,E810.9,E8109
14,E811.1,E8111
14,E811.2,E8112
14,E811.3,E8113
14,E811.4,E8114
14,E811.5,E8115
14,E811.8,E8118
14,E811.9,E8119
14,E812.1,E8121
14,E812.2,E8122
14,E812.3,E8123
14,E812.4,E8124
14,E812.5,E8125
14,E812.8,E8128
14,E812.9,E8129
14,E813.1,E8131
14,E813.2,E8132
14,E813.3,E8133
14,E813.4,E8134
14,E813.5,E8135
14,E813.8,E8138
14,E813.9,E8139
14,E815.1,E8151
14,E815.2,E8152
14,E815.3,E8153
14,E815.4,E8154
14,E815.5,E8155
14,E815.8,E8158
14,E815.9,E8159
14,E816.1,E8161
14,E816.2,E8162
14,E816.3,E8163
14,E816.4,E8164
14,E816.5,E8165
14,E816.8,E8168
14,E816.9,E8169
14,E817.1,E8171
14,E817.2,E8172
14,E817.3,E8173
14,E817.4,E8174
14,E817.5,E8175
14,E817.8,E8178
14,E817.9,E8179
14,E818.1,E8181
14,E818.2,E8182
14,E818.3,E8183
14,E818.4,E8184
14,E818.5,E8185
14,E818.8,E8188
14,E818.9,E8189
14,E819.1,E8191
14,E819.2,E8192
14,E819.3,E8193
14,E819.4,E8194
14,E819.5,E8195
14,E819.8,E8198
14,E819.9,E8199
15,009.0,0090
15,010,010
15,011,011
15,012,012
15,013,013
15,014,014
15,015,015
15,016,016
15,017,017
15,018,018
15,042,042
15,043,043
15,044,044
15,070,070
15,140,140
15,141,141
15,142,142
15,143,143
15,144,144
15,145,145
15,146,146
15,147,147
15,148,148
15,149,149
15,150,150
15,151,151
15,152,152
15,153,153
15,154,154
15,155,155
15,156,156
15,157,157
15,158,158
15,159,159
15,160,160
15,161,161
15,162,162
15,163,163
15,164,164
15,165,165
15,166,166
15,167,167
15,168,168
15,169,169
15,170,170
15,171,171
15,172,172
15,173,173
15,174,174
15,175,175
15,176,176
15,177,177
15,178,178
15,179,179
15,180,180
15,181,181
15,182,182
15,183,183
15,184,184
15,185,185
15,186,186
15,187,187
15,188,188
15,189,189
15,190,190
15,191,191
15,192,192
15,193,193
15,194,194
15,195,195
15,196,196
15,197,197
15,198,198
15,199,199
15,200,200
15,201,201
15,202,202
15,203,203
15,204,204
15,205,205
15,206,206
15,207,207
15,208,208
15,243,243
15,244,244
15,250,250
15,252,252
15,253,253
15,270,270
15,271,271
15,272,272
15,273,273
15,274,274
15,275,275
15,271.3,2713
15,277.0,2770
15,317,317
15,318,318
15,319,319
15,330,330
15,331,331
15,332,332
15,333,333
15,334,334
15,335,335
15,336,336
15,337,337
15,338,338
15,339,339
15,340,340
15,341,341
15,342,342
15,343,343
15,344,344
15,431,431
15,446,446
15,493,493
15,530.8,5308
15,555,555
15,556,556
15,557,557
15,558,558
15,575,575
15,576,576
15,571,571
15,577.8,5778
15,579,579
15,588.8,5888
15,593.9,5939
15,585.9,5859
15,,
15,599.0,5990
15,710,710
15,714,714
15,745,745
15,746,746
15,747,747
15,749,749
15,750.5,7505
15,751.3,7513
15,758,758
15,760.76,76076
15,767.0,7670
15,770.7,7707
15,771,771
15,772.1,7721
15,852,852
15,853,853
15,984,984
