inclusion_index,maltreatment_type_schnitzer2011
1,sexual maltreatment
2,sexual maltreatment
3,sexual maltreatment
4,sexual maltreatment
5,sexual maltreatment
6,sexual maltreatment
7,physical maltreatment
8,physical maltreatment
9,physical maltreatment
10,physical maltreatment
11,physical maltreatment
12,physical maltreatment
13,physical maltreatment
14,physical maltreatment
15,physical maltreatment
16,neglect or physical maltreatment
17,neglect or physical maltreatment
18,neglect or physical maltreatment
19,neglect or physical maltreatment
20,neglect or physical maltreatment
21,neglect or physical maltreatment
22,neglect or physical maltreatment
23,neglect
24,neglect
25,neglect
26,neglect
27,neglect
28,neglect
29,neglect
30,neglect
31,neglect
32,neglect
33,neglect
34,neglect
35,neglect
36,neglect
37,neglect
38,neglect
39,neglect
40,neglect
41,neglect
42,neglect
43,neglect
44,neglect
45,neglect
46,neglect
